Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
86,3843632,62272.95849323273,107.76627349853516,-3.61088490486145,103.2767562866211,-107.76627349853516,0.8786236643791199
87,3890432,62997.12234663963,107.11811065673828,-3.596269369125366,102.66023254394533,-107.11811065673828,0.8615972399711609
88,3938192,63721.13691329956,107.00689697265624,-3.5418143272399902,102.6154556274414,-107.00689697265624,0.8496291637420654
89,3984288,64445.29758691788,106.38001251220705,-3.6151063442230233,101.89048767089844,-106.38001251220705,0.8744111061096191
90,4031536,65169.4435942173,104.86324310302734,-3.588824510574341,100.3964614868164,-104.86324310302734,0.8779555559158325
91,4078544,65893.63131523132,102.81951904296876,-3.56280779838562,98.40851593017578,-102.81951904296876,0.8481900691986084
92,4125328,66617.64723825455,103.78343200683594,-3.5172040462493896,99.42323303222656,-103.78343200683594,0.84299236536026
93,4172032,67341.94546222687,103.9778823852539,-3.6151628494262695,99.49031829833984,-103.9778823852539,0.8723916411399841
94,4219072,68066.04034018517,103.6263427734375,-3.579312801361084,99.16830444335938,-103.6263427734375,0.8787217140197754
95,4266224,68790.17290401459,104.6374282836914,-3.586716890335083,100.17223358154295,-104.6374282836914,0.878476619720459
96,4313200,69514.454423666,103.6098861694336,-3.548300266265869,99.17920684814452,-103.6098861694336,0.8823833465576172
97,4358912,70238.73898601532,103.05915069580078,-3.5854427814483643,98.58888244628906,-103.05915069580078,0.8848337531089783
98,4405568,70962.68296480179,103.3080825805664,-3.672069311141968,98.72349548339844,-103.3080825805664,0.9125182628631592
99,4452416,71686.8268225193,104.47801208496094,-3.6023383140563965,100.00292205810548,-104.47801208496094,0.87274569272995
100,4499424,72411.10821342468,104.98831939697266,-3.5722758769989014,100.5452880859375,-104.98831939697266,0.8707521557807922
101,4545920,73136.07200527191,105.41246795654295,-3.5915770530700684,100.92230224609376,-105.41246795654295,0.898579478263855
102,4592272,73860.21076917648,102.2516860961914,-3.585571527481079,97.78572845458984,-102.2516860961914,0.880388617515564
103,4638688,74584.238986969,100.08882904052734,-3.562065839767456,95.64160919189452,-100.08882904052734,0.8851467967033386
104,4685488,75308.2403717041,98.78758239746094,-3.601083755493164,94.31666564941406,-98.78758239746094,0.869831919670105
105,4732368,76032.46865081787,99.251708984375,-3.6680426597595215,94.65885925292967,-99.251708984375,0.9248013496398926
